model_path,model_id,revision,param_name,layer_index,block_type,shape,rows,cols,design_rank,actual_rank,rank_ratio,svd_90_percent_rank,svd_90_percent_ratio,mean,std,var,min,max,sparsity,dtype,created_at
/home/user/transformer_parameter_analysis/data/models/deepseek-ai-DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,model.layers.1.input_layernorm.weight,1,norm,"(4096,)",1,4096,1,1,1.0,1,1.0,0.10130752623081207,0.07976383715867996,0.0063622696325182915,-0.00014019012451171875,0.86328125,0.0,float32,2025-09-02T11:16:49.528743
/home/user/transformer_parameter_analysis/data/models/deepseek-ai-DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,model.layers.1.mlp.down_proj.weight,1,other,"(4096, 14336)",4096,14336,4096,4096,1.0,3015,0.736083984375,-1.978185309781111e-06,0.011993593536317348,0.00014384629321284592,-0.61328125,0.703125,5.279268537248884e-07,float32,2025-09-02T11:16:49.528743
/home/user/transformer_parameter_analysis/data/models/deepseek-ai-DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,model.layers.1.mlp.gate_proj.weight,1,other,"(14336, 4096)",14336,4096,4096,4096,1.0,2825,0.689697265625,1.6603384267455112e-07,0.013012017123401165,0.00016931259597186,-0.44921875,0.53515625,5.790165492466517e-07,float32,2025-09-02T11:16:49.528743
/home/user/transformer_parameter_analysis/data/models/deepseek-ai-DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,model.layers.1.mlp.up_proj.weight,1,other,"(14336, 4096)",14336,4096,4096,4096,1.0,2920,0.712890625,1.8580184359962004e-06,0.012010497972369194,0.0001442520588170737,-0.462890625,0.43359375,9.5367431640625e-07,float32,2025-09-02T11:16:49.528743
/home/user/transformer_parameter_analysis/data/models/deepseek-ai-DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,model.layers.1.post_attention_layernorm.weight,1,norm,"(4096,)",1,4096,1,1,1.0,1,1.0,0.16441860795021057,0.021529126912355423,0.00046350329648703337,-0.000274658203125,0.2890625,0.0,float32,2025-09-02T11:16:49.528743
/home/user/transformer_parameter_analysis/data/models/deepseek-ai-DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,model.layers.1.self_attn.k_proj.weight,1,k_proj,"(1024, 4096)",1024,4096,1024,1024,1.0,371,0.3623046875,2.06608319786028e-06,0.02718282677233219,0.0007389060338027775,-0.349609375,0.34765625,0.0,float32,2025-09-02T11:16:49.528743
/home/user/transformer_parameter_analysis/data/models/deepseek-ai-DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,model.layers.1.self_attn.o_proj.weight,1,o_proj,"(4096, 4096)",4096,4096,4096,4096,1.0,1641,0.400634765625,-2.9922789508418646e-06,0.013497895561158657,0.00018219319463241845,-0.546875,0.57421875,5.364418029785156e-07,float32,2025-09-02T11:16:49.528743
/home/user/transformer_parameter_analysis/data/models/deepseek-ai-DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,model.layers.1.self_attn.q_proj.weight,1,q_proj,"(4096, 4096)",4096,4096,4096,4093,0.999267578125,976,0.23828125,-2.894174485845724e-06,0.019237760454416275,0.0003700914385262877,-0.53125,0.46875,7.152557373046875e-07,float32,2025-09-02T11:16:49.528743
/home/user/transformer_parameter_analysis/data/models/deepseek-ai-DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,model.layers.1.self_attn.v_proj.weight,1,v_proj,"(1024, 4096)",1024,4096,1024,1024,1.0,715,0.6982421875,2.578737849034951e-06,0.009068109095096588,8.223060285672545e-05,-0.0927734375,0.07275390625,2.384185791015625e-07,float32,2025-09-02T11:16:49.528743
/home/user/transformer_parameter_analysis/data/models/deepseek-ai-DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,model.layers.2.input_layernorm.weight,2,norm,"(4096,)",1,4096,1,1,1.0,1,1.0,0.29917752742767334,0.09779813140630722,0.00956447422504425,-6.914138793945312e-05,0.83203125,0.0,float32,2025-09-02T11:16:49.528743
